gold_code,timestamp,usd_vnd_rate,fed_rate,cpi_inflation_yoy,dxy_index,interest_rate_state,interest_rate_market,price_change_pct,volatility_index,news_volume,sentiment_score,daily_return_pct,world_return_pct,premium_pct,spread_margin_pct,target_next_day_trend
BT9999NTT,2026-02-20,-0.42813845306817677,0.0,-0.4082482904638671,0.8302549625377887,-8.881784197001252e-16,0.0,-0.28499752269692,-0.07950865758747719,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-21,-0.0995121673442234,0.0,-0.4082482904638671,0.8915671762498139,-8.881784197001252e-16,0.0,-0.28499752269692,-0.12297134205305503,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,1
BT9999NTT,2026-02-22,-0.45769822911308894,0.0,-0.4082482904638671,0.8915671762498139,-8.881784197001252e-16,0.0,-0.28499752269692,-0.16472882394092705,-0.20318637224968383,0.27969046524854985,0.2929116364288465,-0.22425453935107484,0.7310046879686214,-0.017943072666371813,1
BT9999NTT,2026-02-23,-0.3892281356213138,0.0,-0.4082482904638671,0.4715785123223569,-8.881784197001252e-16,0.0,0.24172063936163035,-0.20486412305622698,-0.20318637224968383,0.27969046524854985,0.44933173913544233,-0.22425453935107484,1.254910176641035,-0.1817589487156134,1
BT9999NTT,2026-02-24,1.5167741585407744,0.0,-0.4082482904638671,1.19506263412441,-8.881784197001252e-16,0.0,0.06614791867544687,-0.20007924900385,-0.20318637224968383,0.27969046524854985,-0.05708376228937367,-0.22425453935107484,1.304805937466979,-0.19716308185555886,0
BT9999NTT,2026-02-25,2.616820109926904,0.0,-0.4082482904638671,0.6463183214016699,-8.881784197001252e-16,0.0,1.0357681198519073,-0.1704514046739657,-0.20318637224968383,0.27969046524854985,-0.18859192877287634,2.940018141823903,0.7211962423866717,-0.17404415145709537,0
BT9999NTT,2026-02-26,2.2777875765136857,0.0,-0.4082482904638671,0.9068952296778092,-8.881784197001252e-16,0.0,1.839520625103732,-0.13635919387002818,-0.20318637224968383,0.27969046524854985,-0.24138615038067857,0.23031858716516157,0.5250622080176661,-0.13534229559668864,0
BT9999NTT,2026-02-27,1.720525471993326,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,1.6692415542874837,-0.10964713426821723,-0.20318637224968383,0.27969046524854985,-0.2417439355473542,-1.0374821766033595,0.5321106019998992,-0.09642602502237224,1
BT9999NTT,2026-02-28,1.853996909747176,0.0,-0.4082482904638671,0.45318484820874505,-8.881784197001252e-16,0.0,2.0397970451829464,-0.10427883416226724,-0.20318637224968383,0.27969046524854985,0.8169560211347053,4.862752908361283,0.5813353539510557,-0.3643983881618168,0
BT9999NTT,2026-03-01,1.793369205818292,0.0,-0.4082482904638671,0.45318484820874505,-8.881784197001252e-16,0.0,2.3397705378126066,-0.0643358126831658,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.2679712802147428,0.5883438146167763,-0.3643983881618168,1
BTSJC,2026-01-26,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.28499752269692,-1.8070024229941115,-0.20318637224968383,0.27969046524854985,0.503506555603736,-0.22425453935107484,-0.7658681368097057,-4.469395684113295,1
