date,buy_price,sell_price
2011-10-05,44150000.0,44350000.0
2011-10-06,43650000.0,44050000.0
2011-10-07,43050000.0,43450000.0
2011-10-08,43000000.0,43400000.0
2011-10-10,42890000.0,43290000.0
2011-10-11,43400000.0,43700000.0
2011-10-12,43800000.0,44100000.0
2011-10-13,43850000.0,44150000.0
2011-10-14,43950000.0,44150000.0
2011-10-15,44050000.0,44250000.0
2011-10-17,44200000.0,44400000.0
2011-10-18,43700000.0,43900000.0
2011-10-19,43300000.0,43500000.0
2011-10-20,42800000.0,43100000.0
2011-10-21,43200000.0,43500000.0
2011-10-22,43800000.0,44050000.0
2011-10-24,43800000.0,44100000.0
2011-10-25,43800000.0,44050000.0
2011-10-26,44600000.0,44900000.0
2011-10-27,44650000.0,44900000.0
2011-10-28,44950000.0,45250000.0
2011-10-29,45000000.0,45300000.0
2011-10-31,44550000.0,44850000.0
2011-11-01,44650000.0,44850000.0
2011-11-02,45000000.0,45200000.0
2011-11-03,44950000.0,45200000.0
2011-11-04,45400000.0,45700000.0
2011-11-05,45300000.0,45600000.0
2011-11-07,45600000.0,45850000.0
2011-11-08,46350000.0,46550000.0
2011-11-09,46350000.0,46550000.0
2011-11-10,46100000.0,46300000.0
2011-11-11,45950000.0,46150000.0
2011-11-12,46250000.0,46450000.0
2011-11-14,46400000.0,46600000.0
2011-11-15,46100000.0,46300000.0
2011-11-16,46150000.0,46350000.0
2011-11-17,46080000.0,46280000.0
2011-11-18,45750000.0,45950000.0
2011-11-19,45750000.0,45950000.0
2011-11-21,45550000.0,45750000.0
2011-11-22,44150000.0,44550000.0
2011-11-23,44450000.0,44750000.0
2011-11-24,44250000.0,44550000.0
2011-11-25,44250000.0,44450000.0
2011-11-26,44400000.0,44600000.0
2011-11-28,44870000.0,45020000.0
2011-11-29,44700000.0,44850000.0
2011-11-30,44550000.0,44750000.0
2011-12-01,45150000.0,45350000.0
2011-12-02,45080000.0,45280000.0
2011-12-03,45070000.0,45270000.0
2011-12-05,45050000.0,45200000.0
2011-12-06,44500000.0,44750000.0
2011-12-07,44760000.0,44960000.0
2011-12-08,44890000.0,45090000.0
2011-12-09,44570000.0,44820000.0
2011-12-10,44650000.0,44850000.0
2011-12-12,44350000.0,44600000.0
2011-12-13,43900000.0,44150000.0
2011-12-14,43790000.0,44040000.0
2011-12-15,43000000.0,43400000.0
2011-12-16,43350000.0,43750000.0
2011-12-17,43600000.0,44000000.0
2011-12-19,43350000.0,43750000.0
2011-12-20,43100000.0,43500000.0
2011-12-21,43150000.0,43550000.0
2011-12-22,43050000.0,43450000.0
2011-12-23,43150000.0,43550000.0
2011-12-24,43150000.0,43550000.0
2011-12-26,43100000.0,43500000.0
2011-12-27,42900000.0,43300000.0
2011-12-28,42350000.0,42750000.0
2011-12-29,41620000.0,42120000.0
2011-12-30,40800000.0,41800000.0
2012-01-03,43200000.0,43500000.0
2012-01-04,43300000.0,43600000.0
2012-01-05,43300000.0,43600000.0
