date,usd_vnd_rate,interest_rate_state,interest_rate_market,interest_rate_spread,dxy_index,fed_rate,World_Price_USD_Ounce,World_Price_VND,Domestic_Premium
2025-04-16,25790.0,4.92,5.32,0.40000000000000036,99.37999725341797,4.5,3326.60009765625,103436350.36559547,6363649.634404525
2025-04-17,25830.0,4.92,5.32,0.40000000000000036,99.37999725341797,4.5,3308.699951171875,103039333.7030475,14960666.296952501
2025-04-18,25830.0,4.92,5.32,0.40000000000000036,99.37999725341797,4.5,3308.699951171875,103039333.7030475,16960666.2969525
2025-04-19,25830.0,4.92,5.32,0.40000000000000036,99.37999725341797,4.5,3308.699951171875,103039333.7030475,16960666.2969525
2025-04-20,25830.0,4.92,5.32,0.40000000000000036,99.37999725341797,4.5,3308.699951171875,103039333.7030475,
2025-04-21,25830.0,4.92,5.32,0.40000000000000036,98.27999877929688,4.5,3406.199951171875,106075672.80429749,7924327.195702508
2025-04-22,25871.0,4.92,5.32,0.40000000000000036,98.91999816894531,4.5,3400.800048828125,106075616.52993618,14924383.47006382
2025-04-23,25932.0,4.92,5.32,0.40000000000000036,99.83999633789062,4.5,3276.300048828125,102433245.16214722,21566754.837852776
2025-04-24,25965.0,4.92,5.32,0.40000000000000036,99.29000091552734,4.5,3332.0,104307267.89700001,17192732.102999985
2025-04-25,26026.0,4.92,5.32,0.40000000000000036,99.47000122070312,4.5,3282.39990234375,102995954.56027809,18504045.439721912
2025-04-26,26026.0,4.92,5.32,0.40000000000000036,99.47000122070312,4.5,3282.39990234375,102995954.56027809,17504045.439721912
2025-04-27,26026.0,4.92,5.32,0.40000000000000036,99.47000122070312,4.5,3282.39990234375,102995954.56027809,
2025-04-28,26019.0,4.92,5.32,0.40000000000000036,99.01000213623047,4.5,3332.5,104539882.99387501,15960117.006124988
2025-04-29,25970.0,4.92,5.32,0.40000000000000036,99.23999786376953,4.5,3318.800048828125,103914053.91224428,16885946.087755725
2025-04-30,25980.0,4.92,5.32,0.40000000000000036,99.47000122070312,4.5,3305.0,103521811.03500001,
2025-05-01,25980.0,4.92,5.32,0.40000000000000036,100.25,4.5,3210.0,100546146.27000001,20753853.72999999
2025-05-02,25980.0,4.92,5.32,0.40000000000000036,100.0,4.5,3231.89990234375,101232112.24643409,20067887.753565907
2025-05-03,25980.0,4.92,5.32,0.40000000000000036,100.0,4.5,3231.89990234375,101232112.24643409,
2025-05-04,25980.0,4.92,5.32,0.40000000000000036,100.0,4.5,3231.89990234375,101232112.24643409,
2025-05-05,25980.0,4.92,5.32,0.40000000000000036,99.83000183105469,4.5,3311.300048828125,103719146.12253296,16080853.877467036
