timestamp,gold_code,buy_price,sell_price
2025-05-16,SJCVIETNAM,118500000.0,120800000.0
2025-05-16,XAUUSD,3182.0,3182.0
2025-05-17,SJCVIETNAM,115500000.0,118500000.0
2025-05-17,XAUUSD,3182.0,3182.0
2025-05-18,XAUUSD,3182.0,3182.0
2025-05-19,SJCVIETNAM,116800000.0,119300000.0
2025-05-19,XAUUSD,3228.89990234375,3228.89990234375
2025-05-20,SJCVIETNAM,116800000.0,119300000.0
2025-05-20,XAUUSD,3280.300048828125,3280.300048828125
2025-05-21,SJCVIETNAM,118000000.0,120500000.0
2025-05-21,XAUUSD,3309.300048828125,3309.300048828125
2025-05-22,SJCVIETNAM,119300000.0,121300000.0
2025-05-22,XAUUSD,3292.300048828125,3292.300048828125
2025-05-23,SJCVIETNAM,118000000.0,120000000.0
2025-05-23,XAUUSD,3363.60009765625,3363.60009765625
2025-05-24,SJCVIETNAM,119500000.0,121500000.0
2025-05-24,XAUUSD,3363.60009765625,3363.60009765625
2025-05-25,SJCVIETNAM,119000000.0,121000000.0
2025-05-25,XAUUSD,3363.60009765625,3363.60009765625
2025-05-26,SJCVIETNAM,117000000.0,120000000.0
2025-05-26,XAUUSD,3363.60009765625,3363.60009765625
2025-05-27,SJCVIETNAM,116300000.0,118800000.0
2025-05-27,XAUUSD,3299.10009765625,3299.10009765625
2025-05-28,SJCVIETNAM,115800000.0,118300000.0
2025-05-28,XAUUSD,3293.60009765625,3293.60009765625
2025-05-29,SJCVIETNAM,114700000.0,117200000.0
2025-05-29,XAUUSD,3317.10009765625,3317.10009765625
2025-05-30,SJCVIETNAM,116500000.0,119000000.0
2025-05-30,XAUUSD,3288.89990234375,3288.89990234375
2025-05-31,SJCVIETNAM,115700000.0,118200000.0
2025-05-31,XAUUSD,3288.89990234375,3288.89990234375
2025-06-01,XAUUSD,3288.89990234375,3288.89990234375
2025-06-02,SJCVIETNAM,116000000.0,118500000.0
2025-06-02,XAUUSD,3370.60009765625,3370.60009765625
2025-06-03,SJCVIETNAM,116000000.0,118000000.0
2025-06-03,XAUUSD,3350.199951171875,3350.199951171875
2025-06-04,XAUUSD,3373.5,3373.5
2025-06-05,SJCVIETNAM,115400000.0,117700000.0
2025-06-05,XAUUSD,3350.699951171875,3350.699951171875
2025-06-06,SJCVIETNAM,116000000.0,118000000.0
2025-06-06,XAUUSD,3322.699951171875,3322.699951171875
2025-06-07,SJCVIETNAM,114900000.0,117200000.0
2025-06-07,XAUUSD,3322.699951171875,3322.699951171875
2025-06-08,XAUUSD,3322.699951171875,3322.699951171875
2025-06-09,SJCVIETNAM,115200000.0,117200000.0
2025-06-09,XAUUSD,3332.10009765625,3332.10009765625
2025-06-10,SJCVIETNAM,116000000.0,118000000.0
2025-06-10,XAUUSD,3320.89990234375,3320.89990234375
2025-06-11,SJCVIETNAM,116800000.0,118800000.0
2025-06-11,XAUUSD,3321.300048828125,3321.300048828125
2025-06-12,SJCVIETNAM,116800000.0,118800000.0
2025-06-12,XAUUSD,3380.89990234375,3380.89990234375
2025-06-13,SJCVIETNAM,118500000.0,120500000.0
2025-06-13,XAUUSD,3431.199951171875,3431.199951171875
2025-06-14,SJCVIETNAM,117800000.0,120300000.0
2025-06-14,XAUUSD,3431.199951171875,3431.199951171875
2025-06-15,XAUUSD,3431.199951171875,3431.199951171875
2025-06-16,SJCVIETNAM,118500000.0,120500000.0
2025-06-16,XAUUSD,3396.39990234375,3396.39990234375
2025-06-17,SJCVIETNAM,117300000.0,119300000.0
2025-06-17,XAUUSD,3386.60009765625,3386.60009765625
2025-06-18,XAUUSD,3389.800048828125,3389.800048828125
2025-06-19,SJCVIETNAM,117400000.0,119400000.0
2025-06-19,XAUUSD,3389.800048828125,3389.800048828125
2025-06-20,XAUUSD,3368.10009765625,3368.10009765625
2025-06-21,SJCVIETNAM,117700000.0,119700000.0
2025-06-21,XAUUSD,3368.10009765625,3368.10009765625
2025-06-22,XAUUSD,3368.10009765625,3368.10009765625
2025-06-23,SJCVIETNAM,117700000.0,119700000.0
2025-06-23,XAUUSD,3377.699951171875,3377.699951171875
2025-06-24,SJCVIETNAM,117700000.0,119700000.0
2025-06-24,XAUUSD,3317.39990234375,3317.39990234375
2025-06-25,XAUUSD,3327.10009765625,3327.10009765625
2025-06-26,SJCVIETNAM,117800000.0,119800000.0
2025-06-26,XAUUSD,3333.5,3333.5
2025-06-27,SJCVIETNAM,117700000.0,119700000.0
2025-06-27,XAUUSD,3273.699951171875,3273.699951171875
2025-06-28,SJCVIETNAM,117700000.0,119700000.0
2025-06-28,XAUUSD,3273.699951171875,3273.699951171875
2025-06-29,XAUUSD,3273.699951171875,3273.699951171875
2025-06-30,SJCVIETNAM,117500000.0,119500000.0
2025-06-30,XAUUSD,3294.39990234375,3294.39990234375
2025-07-01,SJCVIETNAM,118300000.0,120300000.0
2025-07-01,XAUUSD,3336.699951171875,3336.699951171875
2025-07-02,SJCVIETNAM,118700000.0,120700000.0
2025-07-02,XAUUSD,3348.0,3348.0
2025-07-03,SJCVIETNAM,118900000.0,120900000.0
2025-07-03,XAUUSD,3331.60009765625,3331.60009765625
2025-07-04,SJCVIETNAM,118900000.0,120900000.0
2025-07-04,XAUUSD,3332.5,3332.5
2025-07-05,XAUUSD,3332.5,3332.5
2025-07-06,XAUUSD,3332.5,3332.5
2025-07-07,SJCVIETNAM,118500000.0,120500000.0
2025-07-07,XAUUSD,3332.199951171875,3332.199951171875
2025-07-08,SJCVIETNAM,119000000.0,121000000.0
2025-07-08,XAUUSD,3307.0,3307.0
2025-07-09,SJCVIETNAM,118600000.0,120600000.0
2025-07-09,XAUUSD,3311.60009765625,3311.60009765625
2025-07-10,SJCVIETNAM,118800000.0,120800000.0
