datetime,fed_rate,fed_change_pct
2026-02-10 23:15:57.397,3.75,0
2026-02-11 00:01:36.368,3.75,0
2026-02-11 00:43:49.140,3.75,0
2026-02-11 00:52:50.739,3.75,0
2026-02-11 01:41:20.533,3.75,0
2026-02-11 02:15:20.550,3.75,0
2026-02-11 02:44:10.271,3.75,0
2026-02-11 03:09:04.212,3.75,0
2026-02-11 03:33:31.378,3.75,0
2026-02-11 04:11:49.546,3.75,0
2026-02-11 04:19:58.217,3.75,0
2026-02-11 04:57:23.538,3.75,0
2026-02-11 05:33:30.133,3.75,0
2026-02-11 06:13:24.924,3.75,0
2026-02-11 06:33:47.423,3.75,0
2026-02-11 07:05:38.971,3.75,0
2026-02-11 07:15:51.300,3.75,0
2026-02-11 07:51:31.363,3.75,0
2026-02-11 08:45:43.356,3.75,0
2026-02-11 08:56:55.135,3.75,0
2026-02-11 09:26:25.463,3.75,0
2026-02-11 10:13:32.199,3.75,0
2026-02-11 10:39:30.045,3.75,0
2026-02-11 11:15:17.320,3.75,0
2026-02-11 11:43:57.558,3.75,0
2026-02-11 12:04:22.039,3.75,0
2026-02-11 12:35:41.347,3.75,0
2026-02-11 13:00:43.713,3.75,0
2026-02-11 13:23:51.504,3.75,0
2026-02-11 14:06:24.877,3.75,0
2026-02-11 14:28:45.463,3.75,0
2026-02-11 15:12:45.466,3.75,0
2026-02-11 15:16:06.026,3.75,0
2026-02-11 16:08:10.948,3.75,0
2026-02-11 16:17:15.958,3.75,0
2026-02-11 17:08:34.962,3.75,0
2026-02-11 17:20:25.970,3.75,0
2026-02-11 17:47:06.007,3.75,0
2026-02-11 18:20:26.731,3.75,0
2026-02-11 18:47:43.955,3.75,0
2026-02-11 19:17:51.932,3.75,0
2026-02-11 19:48:17.554,3.75,0
2026-02-11 20:38:19.223,3.75,0
2026-02-11 20:50:40.579,3.75,0
2026-02-11 21:21:43.116,3.75,0
2026-02-11 22:08:57.417,3.75,0
2026-02-11 22:19:45.717,3.75,0
2026-02-11 22:24:43.415,3.75,0
2026-02-11 22:34:25.303,3.75,0
2026-02-11 23:15:01.850,3.75,0
2026-02-11 23:45:16.842,3.75,0
2026-02-11 23:52:25.061,3.75,0
2026-02-12 00:27:59.837,3.75,0
2026-02-12 00:58:28.755,3.75,0
2026-02-12 01:30:33.535,3.75,0
2026-02-12 02:10:11.200,3.75,0
2026-02-12 02:32:57.385,3.75,0
2026-02-12 02:52:29.336,3.75,0
2026-02-12 03:42:01.469,3.75,0
2026-02-12 04:02:17.368,3.75,0
2026-02-12 04:26:44.843,3.75,0
2026-02-12 04:51:27.846,3.75,0
2026-02-12 05:19:22.537,3.75,0
2026-02-12 05:48:17.056,3.75,0
2026-02-12 06:15:48.069,3.75,0
2026-02-12 06:39:23.141,3.75,0
2026-02-12 07:08:02.417,3.75,0
2026-02-12 07:39:02.876,3.75,0
