datetime,usd_vnd_rate,usd_change_pct
2026-02-13 20:14:54.199,25909.34,0.0
2026-02-13 20:23:31.706,25909.34,0.0
2026-02-13 21:08:58.245,25909.34,0.0
2026-02-13 21:20:06.558,25909.34,0.0
2026-02-13 22:09:06.429,25909.34,0.0
2026-02-13 22:35:38.431,25909.34,0.0
2026-02-13 23:12:18.002,25909.34,0.0
2026-02-13 23:43:53.460,25909.34,0.0
2026-02-13 23:54:19.572,25909.34,0.0
2026-02-14 00:20:42.490,25909.34,0.0
2026-02-14 01:02:27.644,25909.34,0.0
2026-02-14 01:42:19.390,25909.34,0.0
2026-02-14 02:00:22.210,25909.34,0.0
2026-02-14 02:35:30.505,25909.34,0.0
2026-02-14 03:14:33.996,25909.34,0.0
2026-02-14 03:35:09.104,25909.34,0.0
2026-02-14 04:12:19.174,25909.34,0.0
2026-02-14 04:27:56.567,25909.34,0.0
2026-02-14 04:52:27.556,25909.34,0.0
2026-02-14 05:21:03.208,25909.34,0.0
2026-02-14 05:53:30.551,25909.34,0.0
2026-02-14 06:41:13.847,25909.34,0.0
2026-02-14 07:08:01.057,25909.34,0.0
2026-02-14 07:20:14.760,25909.34,0.0
2026-02-14 07:47:01.642,25909.34,0.0
2026-02-14 08:21:44.312,25942.72,0.128834
2026-02-14 08:54:01.504,25942.72,0.0
2026-02-14 09:26:49.089,25942.72,0.0
2026-02-14 10:06:46.989,25942.72,0.0
2026-02-14 10:39:37.090,25942.72,0.0
2026-02-14 10:55:47.365,25942.72,0.0
2026-02-14 11:24:04.336,25942.72,0.0
2026-02-14 11:50:20.178,25942.72,0.0
2026-02-14 12:20:08.995,25942.72,0.0
2026-02-14 13:01:26.532,25942.72,0.0
2026-02-14 13:28:50.149,25942.72,0.0
2026-02-14 13:46:10.930,25942.72,0.0
2026-02-14 14:29:07.470,25942.72,0.0
2026-02-14 15:00:52.888,25942.72,0.0
2026-02-14 15:31:10.001,25942.72,0.0
2026-02-14 15:59:03.676,25942.72,0.0
2026-02-14 16:33:48.809,25942.72,0.0
2026-02-14 16:53:52.180,25942.72,0.0
2026-02-14 17:15:57.421,25942.72,0.0
2026-02-14 17:54:15.939,25942.72,0.0
2026-02-14 18:40:34.426,25942.72,0.0
2026-02-14 19:11:49.379,25942.72,0.0
2026-02-14 19:23:31.573,25942.72,0.0
2026-02-14 19:51:26.732,25942.72,0.0
2026-02-14 20:42:27.035,25942.72,0.0
2026-02-14 21:01:23.020,25942.72,0.0
2026-02-14 21:43:17.861,25942.72,0.0
2026-02-14 21:55:25.587,25942.72,0.0
2026-02-14 22:45:07.564,25942.72,0.0
2026-02-14 22:53:53.396,25942.72,0.0
2026-02-14 23:27:00.323,25942.72,0.0
2026-02-15 00:05:20.227,25942.72,0.0
2026-02-15 00:21:55.733,25942.72,0.0
2026-02-15 01:02:42.292,25942.72,0.0
2026-02-15 01:20:44.086,25942.72,0.0
2026-02-15 01:41:18.964,25942.72,0.0
2026-02-15 01:46:12.474,25942.72,0.0
2026-02-15 02:45:05.339,25942.72,0.0
2026-02-15 02:47:09.472,25942.72,0.0
2026-02-15 03:18:27.148,25942.72,0.0
2026-02-15 03:26:51.277,25942.72,0.0
2026-02-15 03:41:54.506,25942.72,0.0
2026-02-15 04:13:03.838,25942.72,0.0
2026-02-15 04:23:04.780,25942.72,0.0
2026-02-15 04:57:04.219,25942.72,0.0
2026-02-15 05:18:41.142,25942.72,0.0
2026-02-15 06:12:41.547,25942.72,0.0
2026-02-15 06:33:30.773,25942.72,0.0
2026-02-15 07:01:09.850,25942.72,0.0
2026-02-15 07:20:41.408,25942.72,0.0
2026-02-15 08:07:59.120,25920.29,-0.08646
2026-02-15 08:16:53.649,25920.29,0.0
2026-02-15 09:11:06.725,25920.29,0.0
2026-02-15 09:43:49.133,25920.29,0.0
2026-02-15 09:59:07.954,25920.29,0.0
2026-02-15 10:32:00.481,25920.29,0.0
2026-02-15 10:46:55.327,25920.29,0.0
2026-02-15 11:20:47.793,25920.29,0.0
2026-02-15 12:08:15.650,25920.29,0.0
2026-02-15 12:36:32.141,25920.29,0.0
2026-02-15 13:00:44.226,25920.29,0.0
2026-02-15 13:34:50.416,25920.29,0.0
2026-02-15 14:13:14.475,25920.29,0.0
2026-02-15 14:23:47.569,25920.29,0.0
2026-02-15 14:49:08.230,25920.29,0.0
2026-02-15 15:28:15.333,25920.29,0.0
2026-02-15 16:11:53.916,25920.29,0.0
2026-02-15 16:33:19.783,25920.29,0.0
2026-02-15 17:03:27.678,25920.29,0.0
2026-02-15 17:19:54.388,25920.29,0.0
2026-02-15 17:44:44.255,25920.29,0.0
2026-02-15 18:08:58.194,25920.29,0.0
2026-02-15 18:25:23.556,25920.29,0.0
2026-02-15 19:03:14.044,25920.29,0.0
2026-02-15 19:34:53.933,25920.29,0.0
2026-02-15 19:57:11.584,25920.29,0.0
2026-02-15 20:24:40.022,25920.29,0.0
2026-02-15 20:52:43.165,25920.29,0.0
2026-02-15 21:15:35.292,25920.29,0.0
2026-02-15 22:02:12.784,25920.29,0.0
2026-02-15 22:39:21.385,25920.29,0.0
2026-02-15 23:13:35.449,25920.29,0.0
2026-02-15 23:18:43.163,25920.29,0.0
2026-02-16 00:13:04.776,25920.29,0.0
2026-02-16 00:15:42.613,25920.29,0.0
2026-02-16 00:59:36.036,25920.29,0.0
2026-02-16 01:38:28.194,25920.29,0.0
2026-02-16 02:00:48.929,25920.29,0.0
2026-02-16 02:21:53.215,25920.29,0.0
2026-02-16 02:57:27.255,25920.29,0.0
2026-02-16 03:44:04.218,25920.29,0.0
2026-02-16 04:08:50.039,25920.29,0.0
2026-02-16 04:23:59.538,25920.29,0.0
2026-02-16 05:10:34.471,25920.29,0.0
2026-02-16 05:24:35.364,25920.29,0.0
2026-02-16 05:46:40.270,25920.29,0.0
2026-02-16 06:36:35.987,25920.29,0.0
2026-02-16 06:55:27.280,25920.29,0.0
2026-02-16 07:42:30.264,25920.29,0.0
2026-02-16 07:53:57.038,25920.29,0.0
2026-02-16 08:24:55.500,25804.25,-0.44768
2026-02-16 09:04:45.715,25804.25,0.0
2026-02-16 09:42:38.715,25804.25,0.0
2026-02-16 10:10:13.468,25804.25,0.0
2026-02-16 10:39:43.251,25804.25,0.0
2026-02-16 10:48:03.095,25804.25,0.0
2026-02-16 11:18:05.174,25804.25,0.0
2026-02-16 11:56:36.690,25804.25,0.0
2026-02-16 12:32:27.598,25804.25,0.0
2026-02-16 13:06:09.758,25804.25,0.0
2026-02-16 13:40:38.523,25804.25,0.0
2026-02-16 14:06:19.494,25804.25,0.0
2026-02-16 14:38:55.332,25804.25,0.0
2026-02-16 15:01:37.682,25804.25,0.0
2026-02-16 15:38:42.407,25804.25,0.0
2026-02-16 15:53:59.850,25804.25,0.0
2026-02-16 16:41:08.159,25804.25,0.0
2026-02-16 16:48:05.019,25804.25,0.0
2026-02-16 17:05:49.400,25804.25,0.0
2026-02-16 17:11:09.476,25804.25,0.0
2026-02-16 17:28:46.673,25804.25,0.0
2026-02-16 17:46:57.057,25804.25,0.0
2026-02-16 18:31:01.090,25804.25,0.0
2026-02-16 18:54:25.226,25804.25,0.0
2026-02-16 19:38:57.206,25804.25,0.0
2026-02-16 20:11:24.155,25804.25,0.0
2026-02-16 20:35:03.829,25804.25,0.0
